timestamp,cadence,distance,enhanced_altitude,heart_rate,speed_kmhr,position_lat,position_long
2019-09-15 22:15:59,88.0,5238.92,244.79999999999995,,20.5236,504469415.0,-999216814.0
2019-09-15 22:16:04,69.0,5262.74,246.79999999999995,,15.483600000000001,504470708.0,-999219791.0
2019-09-15 22:16:05,67.0,5266.9,247.4,,16.83,504470948.0,-999220299.0
2019-09-15 22:16:08,67.0,5277.66,248.6,,12.427200000000001,504471454.0,-999221699.0
2019-09-15 22:16:14,61.0,5298.1,250.4,,12.2616,504472669.0,-999224171.0
2019-09-15 22:16:21,63.0,5317.24,250.79999999999995,,10.144800000000002,504473619.0,-999226622.0
2019-09-15 22:16:27,64.0,5333.43,249.6,,9.27,504474579.0,-999228564.0
2019-09-15 22:16:36,65.0,5358.79,247.79999999999995,,9.036,504475836.0,-999231817.0
2019-09-15 22:16:43,67.0,5380.97,249.20000000000005,,9.5076,504476860.0,-999234706.0
2019-09-15 22:16:49,79.0,5400.43,252.4,,10.4796,504477863.0,-999237185.0
2019-09-15 22:16:55,75.0,5425.83,255.79999999999995,,11.2536,504479222.0,-999240354.0
2019-09-15 22:17:01,73.0,5446.34,259.0,,11.620800000000001,504480344.0,-999242901.0
2019-09-15 22:17:10,77.0,5481.93,260.6,,13.3704,504481893.0,-999247602.0
2019-09-15 22:17:17,76.0,5511.19,260.0,,14.04,504483325.0,-999251366.0
2019-09-15 22:17:23,77.0,5532.93,259.20000000000005,,12.2256,504484377.0,-999254172.0
2019-09-15 22:17:29,77.0,5557.79,257.4,,13.672799999999999,504485462.0,-999257481.0
2019-09-15 22:17:36,76.0,5590.14,257.0,,13.334400000000002,504487098.0,-999261611.0
2019-09-15 22:17:42,75.0,5615.24,257.20000000000005,,13.5036,504488507.0,-999264626.0
2019-09-15 22:17:49,75.0,5643.61,257.20000000000005,,13.975200000000001,504489766.0,-999268361.0
2019-09-15 22:17:55,77.0,5667.87,257.4,,13.7052,504490967.0,-999271468.0
2019-09-15 22:18:04,88.0,5705.08,257.0,,14.1084,504492980.0,-999276112.0
2019-09-15 22:18:12,71.0,5742.64,257.0,,16.2576,504494659.0,-999281055.0
2019-09-15 22:18:19,64.0,5782.56,257.6,,19.584,504496771.0,-999286084.0
2019-09-15 22:18:23,82.0,5814.59,257.4,,29.3256,504498382.0,-999290181.0
2019-09-15 22:18:29,74.0,5868.13,257.4,,29.357999999999997,504500910.0,-999297134.0
2019-09-15 22:18:36,58.0,5921.31,258.4,,23.346,504503593.0,-999303919.0
2019-09-15 22:18:40,74.0,5942.43,260.0,,15.886800000000001,504504882.0,-999306478.0
2019-09-15 22:18:47,67.0,5972.16,262.6,,12.024,504506633.0,-999310111.0
2019-09-15 22:18:52,68.0,5988.93,263.4,,13.068,504507259.0,-999312396.0
2019-09-15 22:18:58,74.0,6013.75,264.79999999999995,,13.334400000000002,504508532.0,-999315558.0
2019-09-15 22:19:05,73.0,6043.86,264.4,,14.814,504510120.0,-999319345.0
2019-09-15 22:19:11,75.0,6072.47,263.0,,16.056,504511573.0,-999322980.0
2019-09-15 22:19:19,69.0,6109.07,260.79999999999995,,15.552000000000001,504513243.0,-999327769.0
2019-09-15 22:19:25,70.0,6133.46,260.20000000000005,,11.52,504514640.0,-999330739.0
2019-09-15 22:19:28,72.0,6142.7,260.20000000000005,,11.052,504515566.0,-999330326.0
2019-09-15 22:19:33,77.0,6155.64,260.0,,8.1972,504516688.0,-999329217.0
2019-09-15 22:19:36,75.0,6162.48,259.6,,8.9352,504517254.0,-999328576.0
2019-09-15 22:19:37,75.0,6165.35,259.4,,8.9352,504517531.0,-999328394.0
2019-09-15 22:19:39,78.0,6170.65,259.20000000000005,,8.6004,504518042.0,-999328039.0
2019-09-15 22:19:42,76.0,6175.96,259.0,,7.3224,504518515.0,-999327606.0
2019-09-15 22:19:44,79.0,6180.82,259.0,,6.516,504518991.0,-999327304.0
2019-09-15 22:19:47,77.0,6189.71,259.4,,6.516,504519937.0,-999327111.0
2019-09-15 22:19:55,76.0,6214.71,262.4,,7.657199999999999,504522621.0,-999327088.0
2019-09-15 22:20:02,70.0,6238.31,266.20000000000005,,9.81,504525159.0,-999327174.0
2019-09-15 22:20:07,71.0,6256.85,267.4,,7.2216,504527138.0,-999327065.0
2019-09-15 22:20:11,74.0,6265.93,268.6,,8.4312,504528126.0,-999326843.0
2019-09-15 22:20:13,75.0,6271.2,269.0,,8.4312,504528687.0,-999326956.0
2019-09-15 22:20:20,77.0,6293.66,268.20000000000005,,9.874799999999999,504531092.0,-999327114.0
2019-09-15 22:20:27,91.0,6323.69,268.79999999999995,,14.814,504534299.0,-999327493.0
2019-09-15 22:20:32,74.0,6343.55,269.6,,13.737599999999999,504536429.0,-999327631.0
2019-09-15 22:20:34,71.0,6352.36,270.0,,12.6288,504537378.0,-999327664.0
2019-09-15 22:20:36,74.0,6358.42,270.20000000000005,,13.032,504538030.0,-999327593.0
2019-09-15 22:20:40,73.0,6377.6,270.6,,16.3908,504540091.0,-999327688.0
2019-09-15 22:20:41,74.0,6382.44,270.79999999999995,,16.225199999999997,504540609.0,-999327740.0
2019-09-15 22:20:46,75.0,6407.16,270.79999999999995,,13.233600000000001,504543262.0,-999327448.0
2019-09-15 22:20:53,69.0,6425.59,271.79999999999995,,8.4636,504545238.0,-999327629.0
2019-09-15 22:20:59,68.0,6442.05,273.0,,8.4636,504547004.0,-999327602.0
2019-09-15 22:21:04,74.0,6457.7,274.20000000000005,,9.9756,504548557.0,-999328546.0
2019-09-15 22:21:09,67.0,6476.54,275.6,,10.4472,504549704.0,-999330845.0
2019-09-15 22:21:14,73.0,6500.22,276.6,,12.6972,504550972.0,-999333880.0
2019-09-15 22:21:21,77.0,6535.15,277.4,,15.282,504552689.0,-999338394.0
2019-09-15 22:21:23,73.0,6547.4,277.6,,18.104400000000002,504553538.0,-999339761.0
2019-09-15 22:21:26,77.0,6560.92,277.6,,16.56,504554535.0,-999341201.0
2019-09-15 22:21:28,74.0,6571.28,277.6,,16.5924,504555614.0,-999341514.0
2019-09-15 22:21:30,70.0,6578.19,277.6,,13.572,504556364.0,-999341402.0
2019-09-15 22:21:36,71.0,6598.21,278.79999999999995,,6.5844,504558512.0,-999341572.0
2019-09-15 22:21:42,72.0,6619.16,280.6,,10.3788,504560649.0,-999342541.0
2019-09-15 22:21:52,72.0,6651.23,283.0,,10.177200000000001,504563689.0,-999344749.0
2019-09-15 22:22:01,70.0,6679.28,283.79999999999995,,10.0764,504566382.0,-999346518.0
2019-09-15 22:22:08,71.0,6697.33,286.79999999999995,,6.1488000000000005,504568285.0,-999346958.0
2019-09-15 22:22:14,71.0,6709.46,289.0,,7.5924,504569585.0,-999347021.0
2019-09-15 22:22:20,75.0,6721.44,291.20000000000005,,6.7176,504570873.0,-999347092.0
2019-09-15 22:22:27,82.0,6738.75,292.0,,9.306,504572735.0,-999346997.0
2019-09-15 22:22:32,73.0,6747.68,292.20000000000005,,9.036,504573695.0,-999347046.0
2019-09-15 22:22:36,76.0,6759.18,292.4,,7.8588,504574940.0,-999346982.0
2019-09-15 22:22:38,79.0,6763.66,292.4,,7.794,504575406.0,-999346789.0
2019-09-15 22:22:43,78.0,6781.1,292.6,,10.548,504577282.0,-999346820.0
2019-09-15 22:22:48,70.0,6808.97,292.6,,14.7456,504580280.0,-999346749.0
2019-09-15 22:22:50,70.0,6821.18,293.0,,19.1448,504581592.0,-999346847.0
2019-09-15 22:22:52,0.0,6834.4,293.20000000000005,,19.548,504583101.0,-999346728.0
2019-09-15 22:22:54,16.0,6845.41,293.6,,18.81,504583960.0,-999345432.0
2019-09-15 22:22:56,75.0,6858.41,294.0,,21.6,504583627.0,-999343602.0
2019-09-15 22:22:58,74.0,6870.66,294.4,,22.338,504583250.0,-999341904.0
2019-09-15 22:23:03,0.0,6910.11,292.6,,26.974800000000002,504582706.0,-999336221.0
2019-09-15 22:23:08,71.0,6948.97,290.0,,26.974800000000002,504582055.0,-999330667.0
2019-09-15 22:23:09,71.0,6957.4,289.6,,27.2412,504581801.0,-999329496.0
2019-09-15 22:23:11,0.0,6974.68,288.6,,27.4104,504581102.0,-999327181.0
2019-09-15 22:23:12,0.0,6983.35,288.4,,30.095999999999997,504580622.0,-999326104.0
2019-09-15 22:23:13,0.0,6992.84,288.0,,32.4828,504579996.0,-999325020.0
2019-09-15 22:23:17,23.0,7029.37,287.20000000000005,,31.607999999999997,504577438.0,-999321013.0
2019-09-15 22:23:22,23.0,7076.82,285.6,,35.0028,504573839.0,-999316150.0
2019-09-15 22:23:26,70.0,7116.73,284.0,,34.866,504570663.0,-999312268.0
2019-09-15 22:23:32,9.0,7180.24,281.6,,37.21679999999999,504565532.0,-999306194.0
2019-09-15 22:23:34,48.0,7201.38,280.79999999999995,,37.4544,504563869.0,-999304109.0
2019-09-15 22:23:36,48.0,7221.68,280.20000000000005,,37.4544,504562047.0,-999302490.0
2019-09-15 22:23:37,15.0,7232.61,280.0,,37.4544,504560923.0,-999302025.0
2019-09-15 22:23:39,34.0,7250.69,279.0,,33.12,504559020.0,-999301524.0
2019-09-15 22:23:41,34.0,7265.61,277.6,,27.2772,504557428.0,-999301705.0
2019-09-15 22:23:42,34.0,7273.34,277.0,,26.974800000000002,504556649.0,-999302108.0
2019-09-15 22:23:43,13.0,7281.09,276.6,,26.874,504555951.0,-999302732.0
2019-09-15 22:23:45,13.0,7295.22,275.4,,23.6124,504555074.0,-999304405.0
2019-09-15 22:23:50,62.0,7323.76,274.4,,15.483600000000001,504554126.0,-999308381.0
2019-09-15 22:23:52,24.0,7329.37,274.79999999999995,,10.112400000000001,504553657.0,-999308930.0
2019-09-15 22:23:53,24.0,7331.78,275.20000000000005,,10.112400000000001,504553392.0,-999308909.0
2019-09-15 22:23:57,0.0,7343.57,276.6,,6.012,504552178.0,-999308383.0
2019-09-15 22:24:01,0.0,7346.34,278.20000000000005,,2.4516000000000004,504551957.0,-999308105.0
2019-09-16 20:47:19,61.0,4.54,283.79999999999995,131.0,15.721200000000001,504601313.0,-999248375.0
2019-09-16 20:47:20,58.0,8.43,283.79999999999995,131.0,15.181199999999999,504601541.0,-999248848.0
2019-09-16 20:47:23,57.0,18.59,283.79999999999995,134.0,14.7456,504601940.0,-999250223.0
2019-09-16 20:47:25,63.0,25.64,283.79999999999995,135.0,13.7736,504602299.0,-999251125.0
2019-09-16 20:47:28,69.0,36.86,283.79999999999995,138.0,13.7736,504602857.0,-999252572.0
2019-09-16 20:47:31,74.0,49.72,283.79999999999995,138.0,13.7736,504603649.0,-999254103.0
2019-09-16 20:47:35,80.0,69.26,283.79999999999995,138.0,18.072,504604677.0,-999256567.0
2019-09-16 20:47:37,34.0,82.36,283.79999999999995,138.0,20.052,504605499.0,-999258111.0
2019-09-16 20:47:42,71.0,114.87,283.0,136.0,20.858399999999996,504607251.0,-999262178.0
2019-09-16 20:47:43,69.0,121.08,282.79999999999995,135.0,21.027600000000003,504607558.0,-999262977.0
2019-09-16 20:47:47,77.0,148.93,282.6,134.0,24.487199999999998,504609260.0,-999266295.0
2019-09-16 20:47:50,77.0,169.8,282.6,133.0,24.822,504610306.0,-999268972.0
2019-09-16 20:47:52,0.0,185.95,282.6,132.0,24.6204,504611370.0,-999270823.0
2019-09-16 20:47:53,9.0,193.34,282.6,131.0,24.6204,504611847.0,-999271685.0
2019-09-16 20:47:57,64.0,221.05,283.6,129.0,24.6564,504613604.0,-999274926.0
2019-09-16 20:48:00,58.0,240.65,284.20000000000005,126.0,21.499200000000002,504614582.0,-999277435.0
2019-09-16 20:48:02,56.0,251.14,284.6,125.0,19.1448,504615183.0,-999278719.0
2019-09-16 20:48:06,45.0,265.79,285.6,128.0,12.2256,504615956.0,-999280564.0
2019-09-16 20:48:13,63.0,294.8,287.79999999999995,128.0,13.4028,504617540.0,-999284185.0
2019-09-16 20:48:19,77.0,325.82,288.20000000000005,127.0,17.1324,504619370.0,-999287937.0
2019-09-16 20:48:23,72.0,340.6,288.0,126.0,12.2256,504620102.0,-999289835.0
2019-09-16 20:48:29,64.0,365.18,287.20000000000005,127.0,9.370800000000001,504621489.0,-999292943.0
2019-09-16 20:48:30,63.0,369.87,287.0,127.0,9.370800000000001,504621808.0,-999293471.0
2019-09-16 20:48:33,61.0,385.44,285.79999999999995,128.0,11.52,504623007.0,-999295065.0
2019-09-16 20:48:34,62.0,388.14,285.20000000000005,127.0,11.2536,504623031.0,-999295467.0
2019-09-16 20:48:38,64.0,400.35,283.4,128.0,9.774,504623258.0,-999297263.0
2019-09-16 20:48:43,71.0,423.56,281.20000000000005,130.0,10.749600000000001,504624804.0,-999299949.0
2019-09-16 20:48:49,71.0,454.44,282.20000000000005,133.0,13.7736,504627035.0,-999303285.0
2019-09-16 20:48:50,71.0,459.54,282.79999999999995,133.0,13.7736,504627447.0,-999303793.0
2019-09-16 20:48:57,75.0,490.59,287.6,134.0,13.806,504628639.0,-999307874.0
2019-09-16 20:49:01,70.0,505.47,289.4,134.0,13.201199999999998,504628187.0,-999309916.0
2019-09-16 20:49:05,72.0,530.66,291.6,134.0,13.201199999999998,504628717.0,-999313515.0
2019-09-16 20:49:11,72.0,556.97,295.79999999999995,134.0,14.8464,504628962.0,-999317316.0
2019-09-16 20:49:17,84.0,585.57,300.20000000000005,132.0,16.358399999999996,504628926.0,-999321466.0
2019-09-16 20:49:18,62.0,591.23,300.6,132.0,18.777600000000003,504628882.0,-999322285.0
2019-09-16 20:49:21,77.0,611.4,301.4,131.0,23.680799999999998,504628862.0,-999325202.0
2019-09-16 20:49:24,71.0,633.21,301.20000000000005,130.0,23.2128,504628746.0,-999328352.0
2019-09-16 20:49:26,79.0,647.1,301.0,129.0,23.346,504628577.0,-999330351.0
2019-09-16 20:49:27,79.0,654.45,300.79999999999995,130.0,23.4108,504628566.0,-999331418.0
2019-09-16 20:49:33,74.0,700.57,298.4,129.0,25.563599999999997,504628736.0,-999338097.0
2019-09-16 20:49:39,74.0,747.02,297.6,125.0,25.797600000000003,504628829.0,-999344822.0
2019-09-16 20:49:41,71.0,762.89,297.79999999999995,125.0,25.596,504628863.0,-999347115.0
2019-09-16 20:49:44,65.0,784.03,299.0,125.0,21.7332,504628540.0,-999350143.0
2019-09-16 20:49:47,66.0,799.31,299.6,124.0,19.1124,504628320.0,-999352333.0
2019-09-16 20:49:49,66.0,809.94,299.79999999999995,123.0,20.2212,504628278.0,-999353868.0
2019-09-16 20:49:54,68.0,837.02,300.20000000000005,124.0,18.846,504628433.0,-999357782.0
2019-09-16 20:49:57,63.0,854.07,300.79999999999995,125.0,18.846,504628264.0,-999360241.0
2019-09-16 20:49:59,85.0,864.55,301.0,125.0,18.2736,504628065.0,-999361736.0
2019-09-16 20:50:01,75.0,874.85,301.4,125.0,17.398799999999998,504628222.0,-999363212.0
2019-09-16 20:50:03,75.0,882.06,301.6,125.0,12.8664,504628608.0,-999364102.0
2019-09-16 20:50:04,71.0,886.05,301.6,125.0,12.8664,504628998.0,-999364360.0
2019-09-16 20:50:09,80.0,908.65,301.4,124.0,14.979599999999998,504631415.0,-999364401.0
2019-09-16 20:50:16,76.0,938.79,297.4,125.0,16.491600000000002,504634642.0,-999364535.0
2019-09-16 20:50:22,78.0,972.8,292.20000000000005,125.0,22.136400000000002,504638290.0,-999364762.0
2019-09-16 20:50:31,76.0,1035.1,286.0,127.0,24.152399999999997,504644979.0,-999364911.0
2019-09-16 20:50:36,74.0,1076.77,283.6,128.0,29.188800000000004,504649452.0,-999365210.0
2019-09-16 20:50:43,80.0,1142.24,281.20000000000005,129.0,34.4988,504656484.0,-999365281.0
2019-09-16 20:50:49,63.0,1204.92,280.0,129.0,35.305200000000006,504663208.0,-999365758.0
2019-09-16 20:50:51,63.0,1227.12,280.0,128.0,36.309599999999996,504665593.0,-999365789.0
